isbn_10,isbn_13,title,author,cover,publishers,number_of_pages
0201835959,9780201835953,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks,https://covers.openlibrary.org/b/id/10653425-M.jpg,Addison-Wesley Professional,322
0201310058,9780201310058,Effective Java,Joshua Bloch,https://covers.openlibrary.org/b/id/134335-M.jpg,Addison-Wesley,252
1492043451,9781492043454,Fundamentals of Software Architecture: An Engineering Approach,Mark Richards,https://covers.openlibrary.org/b/id/10193363-M.jpg,"O'Reilly Media",422
0201485672,9780201485677,Refactoring: Improving the Design of Existing Code,Martin Fowler,https://covers.openlibrary.org/b/id/7087623-M.jpg,Addison-Wesley Professional,431
0996128107,9780996128100,"The Effective Engineer: How to Leverage Your Efforts In Software Engineering to Make a Disproportionate and Meaningful Impact",Edmond Lau,https://covers.openlibrary.org/b/id/9173899-M.jpg,Effective Bookshelf,260
1491950358,9781491950357,"Building Microservices: Designing Fine-Grained Systems",Sam Newman,https://covers.openlibrary.org/b/id/8513315-M.jpg,"O'Reilly Media",280
1680502395,9781680502398,"Release It!: Design and Deploy Production-Ready Software",Michael T. Nygard,https://covers.openlibrary.org/b/id/8509030-M.jpg,Pragmatic Bookshelf,356
1491956259,9781491956250,"Microservice Architecture: Aligning Principles, Practices, and Culture",Irakli Nadareishvili,https://covers.openlibrary.org/b/id/8512772-M.jpg,"O'Reilly Media",146
0199291152,9780199291151,"The Selfish Gene",Richard Dawkins,https://covers.openlibrary.org/b/id/133936-M.jpg,Oxford University Press,360
0099590088,9780099590088,Sapiens: A Brief History of Humankind,Yuval Noah Harari,https://covers.openlibrary.org/b/id/8001569-M.jpg,Vintage Books,498
0739467352,9780739467350,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,https://covers.openlibrary.org/b/id/8623312-M.jpg,Norton,518
0465057128,9780465057122,The Pity of War: Explaining World War I,Niall Ferguson,https://covers.openlibrary.org/b/id/9816733-M.jpg,Basic Books,563
0345476093,9780345476098,The Guns of August,Barbara W. Tuchman,https://covers.openlibrary.org/b/id/6616967-M.jpg,Ballantine Books,606
0141186917,9780141186917,Storm of Steel,Ernst Jünger,https://covers.openlibrary.org/b/id/452421-M.jpg,Penguin Modern Classics,289
